train_losses,test_losses,test_acc
2.4666331955337526,2.028706993484497,0.2448
1.8653782467269897,1.7288636789321898,0.3604
1.6539538081741334,1.604593821144104,0.4011
1.5367962016677856,1.5148916515350341,0.4382
1.4480329629898072,1.4670720624923705,0.4587
1.3771837210464477,1.4199806074142456,0.4747
1.315806331062317,1.3942804349899292,0.4903
1.2674757235336305,1.363770972442627,0.508
1.216333363571167,1.3443450002670287,0.513
1.170167445640564,1.3347240873336792,0.5199
1.127149054145813,1.3346733085632325,0.5284
1.086979095993042,1.312513158416748,0.5356
1.0470598454666138,1.3128711040496825,0.5392
1.0070535396957399,1.3159050024032592,0.5311
0.9780306135177612,1.3165972785949707,0.5473
0.9375867851638794,1.322582984161377,0.5481
0.9048808180618286,1.3321197423934936,0.5416
0.8734479413604737,1.3747758811950683,0.5411
0.8412217643928528,1.3512317945480348,0.5532
0.8061571104049683,1.377204789352417,0.5482
0.7827460790252686,1.4138220407485962,0.5447
0.7598478547286988,1.401508408355713,0.552
0.7248260743904114,1.4163580545425416,0.55
0.696418391456604,1.440136882019043,0.5546
0.6663591984176636,1.4742852912902833,0.5498
0.653719892578125,1.4924268468856812,0.5424
0.6252045265388488,1.481035050201416,0.5539
0.596903862361908,1.5217739234924317,0.5487
0.582377107372284,1.5330835577011108,0.5511
0.5537329127883911,1.5756791179656982,0.5489
0.5394161779785156,1.617124709892273,0.548
0.5129790315628052,1.5763161529541017,0.5576
0.5001185781288147,1.620490951347351,0.5536
0.4785684084701538,1.6379260034561158,0.5525
0.45772512409210203,1.7298774234771728,0.5425
0.44092327300071715,1.708370422744751,0.5552
0.4244256010437012,1.76144730758667,0.5447
0.4050407418823242,1.788601742172241,0.5427
0.3915586861228943,1.7982856704711914,0.5563
0.3825173350334167,1.8507525096893311,0.5467
0.3640449842453003,1.8153776187896729,0.554
0.3499767262458801,1.8450739917755128,0.5574
0.3390625313949585,1.8796825714111327,0.5486
0.3269416003990173,1.916848143005371,0.5482
0.31143089448928835,1.9623172187805176,0.5481
0.3094731947898865,1.946949840927124,0.5478
0.2885190348815918,1.9869504554748536,0.5482
0.27577861969947814,1.9756258026123046,0.5537
0.2685966567134857,2.0296203330993654,0.5479
0.2564408949947357,2.009769096374512,0.5607
0.24917177657127382,2.06347018699646,0.5534
0.23676951190948486,2.0913637535095213,0.5466
0.2388916750907898,2.108987477493286,0.5595
0.2362231774330139,2.1423750308990477,0.5501
0.21723171076774597,2.111513673400879,0.5576
0.19859075994491576,2.1555633533477785,0.5562
0.2027948804283142,2.1952575664520264,0.5546
0.20865780117034913,2.2051977909088136,0.558
0.1903828014087677,2.2424578186035156,0.545
0.17846979424476622,2.2769811779022215,0.5498
0.1882626843547821,2.227275159072876,0.5566
0.17775107979774474,2.2540144355773926,0.5587
0.17804488669395446,2.2771034702301027,0.5542
0.16761422249794006,2.3160229125976564,0.5548
0.16865606912612915,2.286637721633911,0.556
0.15875765163421632,2.3329846794128417,0.5557
0.16094688508987426,2.3110191482543945,0.5616
0.14930622045516967,2.3323064979553223,0.5568
0.13873024494171143,2.374043045425415,0.558
0.13415544600486756,2.3503894241333008,0.5607
0.13440536101341247,2.420549145126343,0.5607
0.13368485096931457,2.413818388748169,0.5589
0.12251249183654785,2.4317861446380613,0.5568
0.1194201686668396,2.4478189796447754,0.5613
0.12613104730606078,2.4792373790740965,0.5577
0.11758211311340332,2.45896787109375,0.5644
0.11644665073394775,2.469365616607666,0.5644
0.11387550178527832,2.468505422973633,0.5683
0.11386136956691742,2.5144690727233887,0.5632
0.11375319127082825,2.5230044849395754,0.5647
0.12014911140441895,2.5237574821472166,0.5624
0.1127401415348053,2.5274933612823487,0.5639
0.10600244839668274,2.4909349502563476,0.5677
0.10157877975463867,2.523976965713501,0.5662
0.10023436977386474,2.5484988426208495,0.5701
0.09846558734893798,2.582766235733032,0.5603
0.09856567818641662,2.585378087234497,0.5638
0.10025915756464004,2.5569955236434936,0.5725
0.09201594470024109,2.5892856662750243,0.5726
0.09366369861602783,2.5574122631072997,0.5689
0.09509438693523407,2.586037431716919,0.5652
0.08190491620063782,2.623511068725586,0.5699
0.0845818111896515,2.658258050537109,0.5617
0.07702799222946168,2.6685519744873045,0.5606
0.07622464297771454,2.6826368278503416,0.5655
0.06494428940296174,2.7283734859466553,0.5643
0.06361806210517883,2.7412355575561524,0.5649
0.07768407749652863,2.7343153297424316,0.5641
0.07672538785934448,2.764655521392822,0.5615
0.08366044677734374,2.740032055282593,0.5651
